ID,Name,Link,Image,Price,Category,,,,,,,Category
13339569,Alienware Centauri-X Gaming PC - Epic Silver (Intel i7-7800X/2TB HDD/256GB SSD/16GB RAM/ GTX 1080 Ti) - Eng,https://www.bestbuy.ca/en-ca/product/alienware-centauri-x-gaming-pc-epic-silver-intel-i7-7800x-2tb-hdd-256gb-ssd-16gb-ram-gtx-1080-ti-eng/13339569.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/133/13339/13339569.jpg,"$4,249.99 ",Gaming Desktop Computers,,,,,,,
13469689,Alienware Aurora R8 - Nvidia GTX 1080 - i7-9700K- 16GB - 128GB SSD - 2TB HD -WIN 10 Home - Certified Refurbished,https://www.bestbuy.ca/en-ca/product/alienware-aurora-r8-nvidia-gtx-1080-i7-9700k-16gb-128gb-ssd-2tb-hd-win-10-home-certified-refurbished/13469689.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/134/13469/13469689.jpg,"$2,299.00 ",Gaming Desktop Computers,,,,,,,
13469690,Alienware Aurora R8 - Nvidia RTX 2070 - i7-9700K- 64GB - 256GB SSD - 1TB HD -WIN 10 Home - Certified Refurbished,https://www.bestbuy.ca/en-ca/product/alienware-aurora-r8-nvidia-rtx-2070-i7-9700k-64gb-256gb-ssd-1tb-hd-win-10-home-certified-refurbished/13469690.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/134/13469/13469690.jpg,"$2,899.00 ",Gaming Desktop Computers,,,,,,,
13469688,Alienware Aurora R8 - Nvidia RTX 2070 - i7-9700K- 16GB - 512GB SSD - 1TB HD -WIN 10 Home - Certified Refurbished,https://www.bestbuy.ca/en-ca/product/alienware-aurora-r8-nvidia-rtx-2070-i7-9700k-16gb-512gb-ssd-1tb-hd-win-10-home-certified-refurbished/13469688.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/134/13469/13469688.jpg,"$2,699.00 ",Gaming Desktop Computers,,,,,,,
13264549,ASUS TUF FX10CP Gaming PC (Intel Core i5-8400/1TB HDD/8GB RAM/NVIDIA GTX1050/Windows 10) - English,https://www.bestbuy.ca/en-ca/product/asus-tuf-fx10cp-gaming-pc-intel-core-i5-8400-1tb-hdd-8gb-ram-nvidia-gtx1050-windows-10-english/13264549.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/132/13264/13264549.jpg,"$1,099.99 ",Gaming Desktop Computers,,,,,,,
13218203,ASUS ROG Strix Gaming PC (Intel Core i7-9700K/2TB HDD/256GB SSD/16GB RAM/NVIDIA RTX 2080) - English,https://www.bestbuy.ca/en-ca/product/asus-rog-strix-gaming-pc-intel-core-i7-9700k-2tb-hdd-256gb-ssd-16gb-ram-nvidia-rtx-2080-english/13218203.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/132/13218/13218203.jpg,"$3,399.99 ",Gaming Desktop Computers,,,,,,,
12869598,ASUS ROG Strix Gaming PC (Intel Core i5-8400/1TB HDD/128GB SSD/8GB RAM/NVIDIA GTX1050) - Open Box,https://www.bestbuy.ca/en-ca/product/asus-rog-strix-gaming-pc-intel-core-i5-8400-1tb-hdd-128gb-ssd-8gb-ram-nvidia-gtx1050-open-box/12869598.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/128/12869/12869598.jpg,"$1,019.99 ",Gaming Desktop Computers,,,,,,,
13021474,ASUS ROG Strix Call of Duty Gaming PC(Intel Core i7/2TB HDD/256GB SSD/16GB RAM/NVIDIA RTX 2080)-Eng,https://www.bestbuy.ca/en-ca/product/asus-rog-strix-call-of-duty-gaming-pc-intel-core-i7-2tb-hdd-256gb-ssd-16gb-ram-nvidia-rtx-2080-eng/13021474.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/130/13021/13021474.jpg,"$3,499.99 ",Gaming Desktop Computers,,,,,,,
12608128,"Alienware 17.3"" Gaming Laptop (Intel Core i7-8750H/1TB HDD/128GB SSD/16GB RAM/NVIDIA GTX 1070) - En",https://www.bestbuy.ca/en-ca/product/alienware-17-3-gaming-laptop-intel-core-i7-8750h-1tb-hdd-128gb-ssd-16gb-ram-nvidia-gtx-1070-en/12608128.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/126/12608/12608128.jpg,"$2,799.99 ",Gaming Laptops,,,,,,,
13024335,"Alienware 15 R4 - 15"" - FHD - NVIDIA 1060 - i7-8750H - 16GB - 128GB SSD + 1TB -WIN10 HOME - Certified Refurbished",https://www.bestbuy.ca/en-ca/product/alienware-15-r4-15-fhd-nvidia-1060-i7-8750h-16gb-128gb-ssd-1tb-win10-home-certified-refurbished/13024335.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/130/13024/13024335.jpg,"$1,699.00 ",Gaming Laptops,,,,,,,
